,Name,Price,Kms_driven,Fuel_type,Year,Company
463,Maruti Suzuki Alto,307999,41900, Petrol ,2017,Maruti
464,Maruti Suzuki Eeco,478599,11944, Petrol ,2019,Maruti
465,Maruti Suzuki Wagon,405199,66143, Petrol ,2015,Maruti
466,Maruti Suzuki Alto,314999,16563, Petrol ,2018,Maruti
467,Hyundai Elite i20,684599,14460, Petrol ,2016,Hyundai
468,Maruti Suzuki Alto,413099,47120, Petrol ,2018,Maruti
469,Chevrolet Cruze LTZ,345000,115000, Diesel,2011,Chevrolet
470,Renault Scala RxZ,385000,79200, Diesel,2013,Renault
471,Hyundai Verna 1.6,690000,48877, Diesel,2016,Hyundai
472,Honda WRV VX,825000,32000, Petrol,2019,Honda
473,Toyota Corolla Altis,1425000,51000, Petrol,2018,Toyota
474,Maruti Suzuki Alto,295000,56000, Petrol,2014,Maruti
475,Tata Tiago Revotorq,700000,14000, Petrol,2022,Tata
476,Chevrolet Aveo -,69000,79000, Petrol,2006,Chevrolet
477,Maruti Suzuki Swift,501199,147960, Diesel ,2016,Maruti
478,Maruti Suzuki Wagon,357399,38766, Petrol ,2014,Maruti
479,Maruti Suzuki Eeco,494199,8409, Petrol ,2019,Maruti
480,Renault Kwid RxL,424099,20718, Petrol ,2019,Renault
481,Maruti Suzuki Baleno,598299,51125, Petrol ,2017,Maruti
482,Hyundai Grand i10,477599,64459, Petrol ,2014,Hyundai
483,Maruti Suzuki Swift,447599,29467, Petrol ,2014,Maruti
484,Tata Nexon -,703999,18019, Petrol ,2017,Tata
485,Maruti Suzuki Celerio,416099,40710, Petrol ,2016,Maruti
486,Maruti Suzuki S,559099,1956, Petrol ,2021,Maruti
487,Renault Kwid -,463099,44696, Petrol,2017,Renault
488,Hyundai Grand i10,527099,21531, Petrol ,2018,Hyundai
489,Kia Seltos -,1517999,20989, Petrol ,2019,Kia
490,Hyundai i20 -,431099,33901, Petrol ,2013,Hyundai
491,Hyundai Grand i10,539799,54696, Petrol ,2018,Hyundai
492,MG Motors Hector,1800299,11292, Diesel ,2019,MG
493,Renault Duster 110,1025000,14000, Diesel,2020,Renault
494,Mahindra Logan -,129000,97000, Diesel,2007,Mahindra
495,Tata Indigo CS,79000,85000, Diesel,2007,Tata
496,Ford EcoSport Trend,525000,50000, Diesel,2014,Ford
497,Honda Jazz VX,565000,53000, Petrol,2016,Honda
498,Maruti Suzuki Wagon,435000,27000, Petrol,2016,Maruti
499,Maruti Suzuki Wagon,425000,52000, Petrol,2016,Maruti
500,Honda City ZX,250000,149000, Petrol,2007,Honda
501,Hyundai Grand i10,616599,27317, Petrol ,2017,Hyundai
502,Hyundai Xcent -,466599,79784, Petrol ,2014,Hyundai
503,Audi Q3 -,1656999,73656, Diesel ,2015,Audi
504,Tata Tiago -,562999,27664, Petrol ,2018,Tata
505,Hyundai Verna FLUIDIC,488899,41898, Petrol ,2012,Hyundai
506,Maruti Suzuki S,514599,4889, Petrol ,2021,Maruti
507,Hyundai Grand i10,495299,39836, Petrol ,2015,Hyundai
508,Honda Jazz -,752399,16108, Petrol ,2016,Honda
509,Hyundai Grand i10,474799,46111, Petrol ,2015,Hyundai
510,Maruti Suzuki Ciaz,849599,23761, Petrol ,2018,Maruti
511,Maruti Suzuki S,663199,146782, Diesel ,2016,Maruti
512,Hyundai Grand i10,566699,26597, Petrol ,2016,Hyundai
513,Maruti Suzuki Eeco,471199,12323, Petrol ,2018,Maruti
514,Renault Kwid RXL,385499,3230, Petrol ,2017,Renault
515,Maruti Suzuki Swift,491599,62059, Petrol ,2016,Maruti
516,Maruti Suzuki Baleno,725699,28188, Petrol ,2019,Maruti
517,Maruti Suzuki Wagon,350000,55000, Petrol,2013,Maruti
518,Maruti Suzuki SX4,210000,79000, Petrol,2009,Maruti
519,Tata Tiago XZA,460000,55000, Petrol,2017,Tata
520,BMW 5 Series,990000,49000, Petrol ,2010,BMW
521,Tata Indica Vista,190000,56000, Petrol,2009,Tata
522,Maruti Suzuki Ertiga,625000,83000, Petrol,2014,Maruti
523,Maruti Suzuki Baleno,590000,39226, Petrol,2016,Maruti
524,Maruti Suzuki Swift,740000,33901, Petrol,2019,Maruti
525,Hyundai Grand i10,640099,32877, Petrol ,2019,Hyundai
526,Maruti Suzuki Ignis,575099,17283, Petrol ,2019,Maruti
527,Maruti Suzuki Ertiga,1081899,86033, Diesel ,2018,Maruti
528,Volkswagen Polo -,726399,17419, Petrol ,2018,Volkswagen
529,Maruti Suzuki Eeco,480399,24416, Petrol ,2019,Maruti
530,Renault Kwid RxL,369599,26700, Petrol ,2017,Renault
531,Maruti Suzuki Swift,451399,28979, Petrol ,2014,Maruti
532,Maruti Suzuki Eeco,494099,27150, Petrol ,2019,Maruti
533,Ford EcoSport -,1240899,3195, Petrol ,2020,Ford
534,Hyundai Eon Era,286199,26761, Petrol ,2013,Hyundai
535,Hyundai Grand i10,509399,71992, Petrol ,2017,Hyundai
